Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1720703409.725897,192.168.1.11,192.168.1.1,peoplestack-pa.clients6.google.com.,65,1,
1720703409.732071,192.168.1.1,192.168.1.11,peoplestackwebexperiments-pa.clients6.google.com.,65,1,
1720703409.736099,192.168.1.1,192.168.1.11,peoplestack-pa.clients6.google.com.,28,1,
1720703409.736306,192.168.1.1,192.168.1.11,peoplestack-pa.clients6.google.com.,1,1,
1720703409.75046,192.168.1.1,192.168.1.11,peoplestack-pa.clients6.google.com.,65,1,
1720703410.215878,192.168.1.11,192.168.1.1,contacts.google.com.,28,1,
1720703410.216305,192.168.1.11,192.168.1.1,contacts.google.com.,1,1,
1720703410.216592,192.168.1.11,192.168.1.1,contacts.google.com.,65,1,
1720703410.226353,192.168.1.1,192.168.1.11,contacts.google.com.,28,1,
1720703410.22674,192.168.1.1,192.168.1.11,contacts.google.com.,1,1,
1720703410.22674,192.168.1.1,192.168.1.11,contacts.google.com.,65,1,
1720703411.715338,192.168.1.11,192.168.1.1,scone-pa.clients6.google.com.,28,1,
1720703411.715725,192.168.1.11,192.168.1.1,scone-pa.clients6.google.com.,1,1,
1720703411.715973,192.168.1.11,192.168.1.1,scone-pa.clients6.google.com.,65,1,
1720703411.724442,192.168.1.1,192.168.1.11,scone-pa.clients6.google.com.,28,1,
1720703411.725858,192.168.1.1,192.168.1.11,scone-pa.clients6.google.com.,1,1,
1720703411.738353,192.168.1.1,192.168.1.11,scone-pa.clients6.google.com.,65,1,
1720703412.37923,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.379587,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.379869,192.168.1.11,192.168.1.1,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.382416,192.168.1.11,192.168.1.1,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.382729,192.168.1.11,192.168.1.1,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.382938,192.168.1.11,192.168.1.1,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.492489,192.168.1.1,192.168.1.11,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.492489,192.168.1.1,192.168.1.11,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.492489,192.168.1.1,192.168.1.11,3wf28iu10aj-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.492489,192.168.1.1,192.168.1.11,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.492489,192.168.1.1,192.168.1.11,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.492489,192.168.1.1,192.168.1.11,nwm6s8csu38-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.606998,192.168.1.11,192.168.1.1,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.607427,192.168.1.11,192.168.1.1,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.607779,192.168.1.11,192.168.1.1,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.610157,192.168.1.11,192.168.1.1,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
